       JobID    JobName  Partition    Account  AllocCPUS      State ExitCode 
18792486.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792487     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792487.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792488     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792488.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792489     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792489.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792490     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792490.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792491     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792491.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792492     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792492.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792493     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792493.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792494     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792494.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792495     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792495.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792496     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792496.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792497     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792497.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792498     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792498.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792499     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792499.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792500     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792500.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792501     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792501.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792502     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792502.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792503     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792503.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792504     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792504.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792505     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792505.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792506     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792506.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792507     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792507.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792508     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792508.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792509     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792509.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792510     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792510.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792511     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792511.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792512     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792512.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792513     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792513.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792514     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792514.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792515     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792515.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792516     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792516.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792517     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792517.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792518     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792518.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792519     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792519.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792520     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792520.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792521     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792521.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792522     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792522.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792523     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792523.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792524     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792524.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792525     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792525.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792526     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792526.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792527     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792527.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792528     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792528.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792529     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792529.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792530     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792530.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792531     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792531.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792532     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792532.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792533     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792533.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792534     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792534.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792535     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792535.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792536     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792536.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792537     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792537.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792538     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792538.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792539     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792539.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792540     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792540.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792541     0.1_0.2_3+    general rc_bhamid+          1    RUNNING      0:0 
18792541.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
